2023-09-27 20:28:06,459 p=21388 u=belov n=ansible | [WARNING]: Invalid characters were found in group names but not replaced, use -vvvv to see details

2023-09-27 20:28:06,518 p=21388 u=belov n=ansible | ERROR! Attempting to decrypt but no vault secrets found
2023-09-27 20:28:18,743 p=21402 u=belov n=ansible | [WARNING]: Invalid characters were found in group names but not replaced, use -vvvv to see details

2023-09-27 20:28:19,136 p=21402 u=belov n=ansible | PLAY [install nginx] **********************************************************************************************************************************************************************************************
2023-09-27 20:28:19,142 p=21402 u=belov n=ansible | TASK [Gathering Facts] ********************************************************************************************************************************************************************************************
2023-09-27 20:28:24,571 p=21402 u=belov n=ansible |  [ERROR]: User interrupted execution

2023-09-27 20:28:25,621 p=21425 u=belov n=ansible | [WARNING]: Invalid characters were found in group names but not replaced, use -vvvv to see details

2023-09-27 20:28:26,015 p=21425 u=belov n=ansible | PLAY [install nginx] **********************************************************************************************************************************************************************************************
2023-09-27 20:28:26,022 p=21425 u=belov n=ansible | TASK [Gathering Facts] ********************************************************************************************************************************************************************************************
2023-09-27 20:28:28,227 p=21425 u=belov n=ansible | ok: [vm-1]
2023-09-27 20:28:28,616 p=21425 u=belov n=ansible | ok: [vm-2]
2023-09-27 20:28:28,634 p=21425 u=belov n=ansible | TASK [geerlingguy.nginx : Include OS-specific variables.] *********************************************************************************************************************************************************
2023-09-27 20:28:28,647 p=21425 u=belov n=ansible | ok: [vm-1]
2023-09-27 20:28:28,654 p=21425 u=belov n=ansible | ok: [vm-2]
2023-09-27 20:28:28,658 p=21425 u=belov n=ansible | TASK [geerlingguy.nginx : Define nginx_user.] *********************************************************************************************************************************************************************
2023-09-27 20:28:28,681 p=21425 u=belov n=ansible | ok: [vm-1]
2023-09-27 20:28:28,688 p=21425 u=belov n=ansible | ok: [vm-2]
2023-09-27 20:28:28,691 p=21425 u=belov n=ansible | TASK [geerlingguy.nginx : include_tasks] **************************************************************************************************************************************************************************
2023-09-27 20:28:28,702 p=21425 u=belov n=ansible | skipping: [vm-1]
2023-09-27 20:28:28,707 p=21425 u=belov n=ansible | skipping: [vm-2]
2023-09-27 20:28:28,710 p=21425 u=belov n=ansible | TASK [geerlingguy.nginx : include_tasks] **************************************************************************************************************************************************************************
2023-09-27 20:28:28,725 p=21425 u=belov n=ansible | skipping: [vm-1]
2023-09-27 20:28:28,730 p=21425 u=belov n=ansible | skipping: [vm-2]
2023-09-27 20:28:28,733 p=21425 u=belov n=ansible | TASK [geerlingguy.nginx : include_tasks] **************************************************************************************************************************************************************************
2023-09-27 20:28:28,760 p=21425 u=belov n=ansible | included: /home/belov/.ansible/roles/geerlingguy.nginx/tasks/setup-Debian.yml for vm-1, vm-2
2023-09-27 20:28:28,766 p=21425 u=belov n=ansible | TASK [geerlingguy.nginx : Update apt cache.] **********************************************************************************************************************************************************************
2023-09-27 20:28:44,956 p=21425 u=belov n=ansible | ok: [vm-1]
2023-09-27 20:28:45,804 p=21425 u=belov n=ansible | ok: [vm-2]
2023-09-27 20:28:45,808 p=21425 u=belov n=ansible | TASK [geerlingguy.nginx : Ensure nginx is installed.] *************************************************************************************************************************************************************
2023-09-27 20:29:00,525 p=21425 u=belov n=ansible | changed: [vm-1]
2023-09-27 20:29:00,636 p=21425 u=belov n=ansible | changed: [vm-2]
2023-09-27 20:29:00,639 p=21425 u=belov n=ansible | TASK [geerlingguy.nginx : include_tasks] **************************************************************************************************************************************************************************
2023-09-27 20:29:00,649 p=21425 u=belov n=ansible | skipping: [vm-1]
2023-09-27 20:29:00,654 p=21425 u=belov n=ansible | skipping: [vm-2]
2023-09-27 20:29:00,657 p=21425 u=belov n=ansible | TASK [geerlingguy.nginx : include_tasks] **************************************************************************************************************************************************************************
2023-09-27 20:29:00,679 p=21425 u=belov n=ansible | skipping: [vm-1]
2023-09-27 20:29:00,680 p=21425 u=belov n=ansible | skipping: [vm-2]
2023-09-27 20:29:00,684 p=21425 u=belov n=ansible | TASK [geerlingguy.nginx : include_tasks] **************************************************************************************************************************************************************************
2023-09-27 20:29:00,694 p=21425 u=belov n=ansible | skipping: [vm-1]
2023-09-27 20:29:00,701 p=21425 u=belov n=ansible | skipping: [vm-2]
2023-09-27 20:29:00,704 p=21425 u=belov n=ansible | TASK [geerlingguy.nginx : Remove default nginx vhost config file (if configured).] ********************************************************************************************************************************
2023-09-27 20:29:00,722 p=21425 u=belov n=ansible | skipping: [vm-1]
2023-09-27 20:29:00,729 p=21425 u=belov n=ansible | skipping: [vm-2]
2023-09-27 20:29:00,733 p=21425 u=belov n=ansible | TASK [geerlingguy.nginx : Ensure nginx_vhost_path exists.] ********************************************************************************************************************************************************
2023-09-27 20:29:01,684 p=21425 u=belov n=ansible | ok: [vm-2]
2023-09-27 20:29:01,700 p=21425 u=belov n=ansible | ok: [vm-1]
2023-09-27 20:29:01,707 p=21425 u=belov n=ansible | TASK [geerlingguy.nginx : Add managed vhost config files.] ********************************************************************************************************************************************************
2023-09-27 20:29:01,722 p=21425 u=belov n=ansible | skipping: [vm-1]
2023-09-27 20:29:01,727 p=21425 u=belov n=ansible | skipping: [vm-2]
2023-09-27 20:29:01,731 p=21425 u=belov n=ansible | TASK [geerlingguy.nginx : Remove managed vhost config files.] *****************************************************************************************************************************************************
2023-09-27 20:29:01,741 p=21425 u=belov n=ansible | skipping: [vm-1]
2023-09-27 20:29:01,746 p=21425 u=belov n=ansible | skipping: [vm-2]
2023-09-27 20:29:01,749 p=21425 u=belov n=ansible | TASK [geerlingguy.nginx : Remove legacy vhosts.conf file.] ********************************************************************************************************************************************************
2023-09-27 20:29:02,700 p=21425 u=belov n=ansible | ok: [vm-1]
2023-09-27 20:29:02,741 p=21425 u=belov n=ansible | ok: [vm-2]
2023-09-27 20:29:02,744 p=21425 u=belov n=ansible | TASK [geerlingguy.nginx : Copy nginx configuration in place.] *****************************************************************************************************************************************************
2023-09-27 20:29:04,964 p=21425 u=belov n=ansible | changed: [vm-1]
2023-09-27 20:29:04,997 p=21425 u=belov n=ansible | changed: [vm-2]
2023-09-27 20:29:05,000 p=21425 u=belov n=ansible | TASK [geerlingguy.nginx : Ensure nginx service is running as configured.] *****************************************************************************************************************************************
2023-09-27 20:29:06,335 p=21425 u=belov n=ansible | ok: [vm-1]
2023-09-27 20:29:06,384 p=21425 u=belov n=ansible | ok: [vm-2]
2023-09-27 20:29:06,401 p=21425 u=belov n=ansible | RUNNING HANDLER [geerlingguy.nginx : reload nginx] ****************************************************************************************************************************************************************
2023-09-27 20:29:07,416 p=21425 u=belov n=ansible | changed: [vm-1]
2023-09-27 20:29:07,494 p=21425 u=belov n=ansible | changed: [vm-2]
2023-09-27 20:29:07,505 p=21425 u=belov n=ansible | PLAY [setting up nginx] *******************************************************************************************************************************************************************************************
